cpu_percent,rss,vms,pfaults,pageins,time,iteration
6.1,23789568,420444520448,2129,162,2024-08-23 01:32:36,0
0.1,23855104,420453957632,2133,162,2024-08-23 01:32:37,1
0.0,23887872,420455006208,2135,162,2024-08-23 01:32:38,2
0.0,23887872,420455006208,2135,162,2024-08-23 01:32:39,3
0.0,23887872,420455006208,2135,162,2024-08-23 01:32:40,4
0.0,23887872,420455006208,2135,162,2024-08-23 01:32:41,5
0.0,23887872,420455006208,2135,162,2024-08-23 01:32:42,6
0.0,23904256,420455006208,2136,162,2024-08-23 01:32:43,7
0.0,23904256,420455006208,2136,162,2024-08-23 01:32:44,8
0.0,23904256,420455006208,2136,162,2024-08-23 01:32:45,9
0.0,23904256,420455006208,2136,162,2024-08-23 01:32:46,10
0.1,23969792,420464443392,2140,162,2024-08-23 01:32:47,11
0.0,23969792,420464443392,2140,162,2024-08-23 01:32:48,12
0.0,23969792,420464443392,2140,162,2024-08-23 01:32:49,13
0.0,23969792,420464443392,2140,162,2024-08-23 01:32:50,14
0.0,23969792,420464443392,2140,162,2024-08-23 01:32:51,15
0.0,23969792,420464443392,2140,162,2024-08-23 01:32:52,16
0.0,23969792,420464443392,2140,162,2024-08-23 01:32:53,17
0.0,24035328,420473880576,2144,162,2024-08-23 01:32:54,18
0.0,24035328,420473880576,2144,162,2024-08-23 01:32:55,19
0.0,24035328,420473880576,2144,162,2024-08-23 01:32:56,20
