cpu_percent,rss,vms,pfaults,pageins,time,iteration
140.7,25804800,34663649280,8013,2,2024-08-24 12:18:23,0
0.1,25804800,34663649280,8013,2,2024-08-24 12:18:24,1
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:25,2
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:26,3
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:27,4
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:28,5
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:29,6
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:30,7
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:31,8
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:32,9
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:33,10
0.1,25804800,34663649280,8013,2,2024-08-24 12:18:34,11
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:35,12
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:36,13
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:37,14
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:38,15
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:39,16
0.0,25804800,34663649280,8013,2,2024-08-24 12:18:40,17
0.0,16531456,34663649280,8013,2,2024-08-24 12:18:41,18
0.0,16531456,34663649280,8013,2,2024-08-24 12:18:42,19
0.0,16531456,34663649280,8013,2,2024-08-24 12:18:43,20
